country,date,sector,MtCO2 per day
Brazil,03/01/2023,Ground Transport,0.49988
Brazil,03/01/2023,Industry,0.368004
Brazil,03/01/2023,International Aviation,0
Brazil,03/01/2023,Power,0.0869719
Brazil,03/01/2023,Residential,0.107823
China,03/01/2023,Domestic Aviation,0.183652
China,03/01/2023,Ground Transport,2.68361
China,03/01/2023,Industry,11.958
China,03/01/2023,International Aviation,0
China,03/01/2023,Power,20.5541
China,03/01/2023,Residential,2.83248
EU27 & UK,03/01/2023,Domestic Aviation,0.049112
EU27 & UK,03/01/2023,Ground Transport,2.27362
EU27 & UK,03/01/2023,Industry,1.64667
EU27 & UK,03/01/2023,International Aviation,0
EU27 & UK,03/01/2023,Power,2.26912
EU27 & UK,03/01/2023,Residential,2.08833
France,03/01/2023,Domestic Aviation,0.0136162
France,03/01/2023,Ground Transport,0.328333
France,03/01/2023,Industry,0.167852
France,03/01/2023,International Aviation,0
France,03/01/2023,Power,0.124647
France,03/01/2023,Residential,0.261789
Germany,03/01/2023,Domestic Aviation,0.00235327
Germany,03/01/2023,Ground Transport,0.352866
Germany,03/01/2023,Industry,0.320416
Germany,03/01/2023,International Aviation,0
Germany,03/01/2023,Power,0.671986
Germany,03/01/2023,Residential,0.473799
India,03/01/2023,Domestic Aviation,0.0409974
India,03/01/2023,Ground Transport,0.894264
India,03/01/2023,Industry,2.24158
India,03/01/2023,International Aviation,0
India,03/01/2023,Power,3.93448
India,03/01/2023,Residential,2.4201
Italy,03/01/2023,Domestic Aviation,0.00639136
Italy,03/01/2023,Ground Transport,0.24118
Italy,03/01/2023,Industry,0.146395
Italy,03/01/2023,International Aviation,0
Italy,03/01/2023,Power,0.261533
Italy,03/01/2023,Residential,0.231445
Japan,03/01/2023,Domestic Aviation,0.0312007
Japan,03/01/2023,Ground Transport,0.430689
Japan,03/01/2023,Industry,0.434582
Japan,03/01/2023,International Aviation,0
Japan,03/01/2023,Power,1.18218
Japan,03/01/2023,Residential,0.694899
ROW,03/01/2023,Domestic Aviation,0.194442
ROW,03/01/2023,Ground Transport,5.99801
ROW,03/01/2023,Industry,8.83646
ROW,03/01/2023,International Aviation,1.32575
ROW,03/01/2023,Power,9.05792
ROW,03/01/2023,Residential,5.15511
Russia,03/01/2023,Domestic Aviation,0.0376781
Russia,03/01/2023,Ground Transport,0.555845
Russia,03/01/2023,Industry,0.748064
Russia,03/01/2023,International Aviation,0
Russia,03/01/2023,Power,2.58076
Russia,03/01/2023,Residential,1.04248
Spain,03/01/2023,Domestic Aviation,0.0173759
Spain,03/01/2023,Ground Transport,0.245552
Spain,03/01/2023,Industry,0.252678
Spain,03/01/2023,International Aviation,0
Spain,03/01/2023,Power,0.113081
Spain,03/01/2023,Residential,0.12455
United Kingdom,03/01/2023,Domestic Aviation,0.00347212
United Kingdom,03/01/2023,Ground Transport,0.271069
United Kingdom,03/01/2023,Industry,0.0827859
United Kingdom,03/01/2023,International Aviation,0
United Kingdom,03/01/2023,Power,0.0924212
United Kingdom,03/01/2023,Residential,0.303306
United States,03/01/2023,Domestic Aviation,0.391981
United States,03/01/2023,Ground Transport,3.33451
United States,03/01/2023,Industry,2.396
United States,03/01/2023,International Aviation,0
United States,03/01/2023,Power,3.64141
United States,03/01/2023,Residential,1.69602
Brazil,04/01/2023,Domestic Aviation,0.0311379
Brazil,04/01/2023,Ground Transport,0.548213
Brazil,04/01/2023,Industry,0.365907
Brazil,04/01/2023,International Aviation,0
Brazil,04/01/2023,Power,0.0864765
Brazil,04/01/2023,Residential,0.107823
China,04/01/2023,Domestic Aviation,0.185762
China,04/01/2023,Ground Transport,2.69676
China,04/01/2023,Industry,12.0256
China,04/01/2023,International Aviation,0
China,04/01/2023,Power,20.6703
China,04/01/2023,Residential,2.70095
EU27 & UK,04/01/2023,Domestic Aviation,0.0485586
EU27 & UK,04/01/2023,Ground Transport,2.36138
EU27 & UK,04/01/2023,Industry,1.28363
EU27 & UK,04/01/2023,International Aviation,0
EU27 & UK,04/01/2023,Power,1.76885
EU27 & UK,04/01/2023,Residential,1.93078
France,04/01/2023,Domestic Aviation,0.0126591
France,04/01/2023,Ground Transport,0.332243
France,04/01/2023,Industry,0.0970851
France,04/01/2023,International Aviation,0
France,04/01/2023,Power,0.0720956
France,04/01/2023,Residential,0.228735
Germany,04/01/2023,Domestic Aviation,0.00224023
Germany,04/01/2023,Ground Transport,0.358754
Germany,04/01/2023,Industry,0.175491
Germany,04/01/2023,International Aviation,0
Germany,04/01/2023,Power,0.368045
Germany,04/01/2023,Residential,0.401751
India,04/01/2023,Domestic Aviation,0.0405443
India,04/01/2023,Ground Transport,0.907452
India,04/01/2023,Industry,2.18296
India,04/01/2023,International Aviation,0
India,04/01/2023,Power,3.83158
India,04/01/2023,Residential,2.76656
Italy,04/01/2023,Domestic Aviation,0.00660435
Italy,04/01/2023,Ground Transport,0.245875
Italy,04/01/2023,Industry,0.129916
Italy,04/01/2023,International Aviation,0
Italy,04/01/2023,Power,0.232095
Italy,04/01/2023,Residential,0.237958
Japan,04/01/2023,Domestic Aviation,0.0307311
Japan,04/01/2023,Ground Transport,0.426255
Japan,04/01/2023,Industry,0.488279
Japan,04/01/2023,International Aviation,0
Japan,04/01/2023,Power,1.32825
Japan,04/01/2023,Residential,0.699651
ROW,04/01/2023,Domestic Aviation,0.194882
ROW,04/01/2023,Ground Transport,6.33714
ROW,04/01/2023,Industry,8.90593
ROW,04/01/2023,International Aviation,1.35638
ROW,04/01/2023,Power,9.14765
ROW,04/01/2023,Residential,5.05446
Russia,04/01/2023,Domestic Aviation,0.0392038
Russia,04/01/2023,Ground Transport,0.611388
Russia,04/01/2023,Industry,0.763592
Russia,04/01/2023,International Aviation,0
Russia,04/01/2023,Power,2.63433
Russia,04/01/2023,Residential,1.14345
Spain,04/01/2023,Domestic Aviation,0.0179389
Spain,04/01/2023,Ground Transport,0.26437
Spain,04/01/2023,Industry,0.217858
Spain,04/01/2023,International Aviation,0
Spain,04/01/2023,Power,0.097498
Spain,04/01/2023,Residential,0.133116
United Kingdom,04/01/2023,Domestic Aviation,0.0039652
United Kingdom,04/01/2023,Ground Transport,0.292765
United Kingdom,04/01/2023,Industry,0.0501677
United Kingdom,04/01/2023,International Aviation,0
United Kingdom,04/01/2023,Power,0.0560066
United Kingdom,04/01/2023,Residential,0.235361
United States,04/01/2023,Domestic Aviation,0.410662
United States,04/01/2023,Ground Transport,4.26077
United States,04/01/2023,Industry,2.51865
United States,04/01/2023,International Aviation,0
United States,04/01/2023,Power,3.82781
United States,04/01/2023,Residential,1.67575
Brazil,05/01/2023,Domestic Aviation,0.0316777
Brazil,05/01/2023,Ground Transport,0.561081
Brazil,05/01/2023,Industry,0.292525
Brazil,05/01/2023,International Aviation,0
Brazil,05/01/2023,Power,0.0691337
Brazil,05/01/2023,Residential,0.107823
China,05/01/2023,Domestic Aviation,0.195285
China,05/01/2023,Ground Transport,2.73598
China,05/01/2023,Industry,11.8391
China,05/01/2023,International Aviation,0
China,05/01/2023,Power,20.3498
China,05/01/2023,Residential,2.54344
EU27 & UK,05/01/2023,Domestic Aviation,0.0482524
EU27 & UK,05/01/2023,Ground Transport,2.3995
EU27 & UK,05/01/2023,Industry,1.51302
EU27 & UK,05/01/2023,International Aviation,0
EU27 & UK,05/01/2023,Power,2.08495
EU27 & UK,05/01/2023,Residential,1.84827
France,05/01/2023,Domestic Aviation,0.0129649
France,05/01/2023,Ground Transport,0.335715
France,05/01/2023,Industry,0.160566
France,05/01/2023,International Aviation,0
France,05/01/2023,Power,0.119237
France,05/01/2023,Residential,0.207071
Germany,05/01/2023,Domestic Aviation,0.00234977
Germany,05/01/2023,Ground Transport,0.366398
Germany,05/01/2023,Industry,0.258128
Germany,05/01/2023,International Aviation,0
Germany,05/01/2023,Power,0.541354
Germany,05/01/2023,Residential,0.368458
India,05/01/2023,Domestic Aviation,0.0409731
India,05/01/2023,Ground Transport,0.907268
India,05/01/2023,Industry,2.19128
India,05/01/2023,International Aviation,0
India,05/01/2023,Power,3.84618
India,05/01/2023,Residential,2.9534
Italy,05/01/2023,Domestic Aviation,0.00637949
Italy,05/01/2023,Ground Transport,0.252844
Italy,05/01/2023,Industry,0.136704
Italy,05/01/2023,International Aviation,0
Italy,05/01/2023,Power,0.244221
Italy,05/01/2023,Residential,0.249498
Japan,05/01/2023,Domestic Aviation,0.0300901
Japan,05/01/2023,Ground Transport,0.450159
Japan,05/01/2023,Industry,0.546121
Japan,05/01/2023,International Aviation,0
Japan,05/01/2023,Power,1.4856
Japan,05/01/2023,Residential,0.69086
ROW,05/01/2023,Domestic Aviation,0.194633
ROW,05/01/2023,Ground Transport,6.45389
ROW,05/01/2023,Industry,8.83976
ROW,05/01/2023,International Aviation,1.38631
ROW,05/01/2023,Power,9.11148
ROW,05/01/2023,Residential,5.01763
Russia,05/01/2023,Domestic Aviation,0.0393703
Russia,05/01/2023,Ground Transport,0.640593
Russia,05/01/2023,Industry,0.787872
Russia,05/01/2023,International Aviation,0
Russia,05/01/2023,Power,2.7181
Russia,05/01/2023,Residential,1.28388
Spain,05/01/2023,Domestic Aviation,0.016428
Spain,05/01/2023,Ground Transport,0.270677
Spain,05/01/2023,Industry,0.244355
Spain,05/01/2023,International Aviation,0
Spain,05/01/2023,Power,0.109356
Spain,05/01/2023,Residential,0.136699
United Kingdom,05/01/2023,Domestic Aviation,0.00425934
United Kingdom,05/01/2023,Ground Transport,0.296178
United Kingdom,05/01/2023,Industry,0.0954837
United Kingdom,05/01/2023,International Aviation,0
United Kingdom,05/01/2023,Power,0.106597
United Kingdom,05/01/2023,Residential,0.256741
United States,05/01/2023,Domestic Aviation,0.418046
United States,05/01/2023,Ground Transport,4.31842
United States,05/01/2023,Industry,2.55948
United States,05/01/2023,International Aviation,0
United States,05/01/2023,Power,3.88986
United States,05/01/2023,Residential,1.86433
Brazil,06/01/2023,Domestic Aviation,0.0315619
Brazil,06/01/2023,Ground Transport,0.567038
Brazil,06/01/2023,Industry,0.247303
Brazil,06/01/2023,International Aviation,0
Brazil,06/01/2023,Power,0.0584462
Brazil,06/01/2023,Residential,0.107823
China,06/01/2023,Domestic Aviation,0.210139
China,06/01/2023,Ground Transport,2.68149
China,06/01/2023,Industry,11.6568
China,06/01/2023,International Aviation,0
China,06/01/2023,Power,20.0363
China,06/01/2023,Residential,2.47106
EU27 & UK,06/01/2023,Domestic Aviation,0.0503524
EU27 & UK,06/01/2023,Ground Transport,2.18648
EU27 & UK,06/01/2023,Industry,1.36905
EU27 & UK,06/01/2023,International Aviation,0
EU27 & UK,06/01/2023,Power,1.88657
EU27 & UK,06/01/2023,Residential,2.00369
France,06/01/2023,Domestic Aviation,0.0141692
France,06/01/2023,Ground Transport,0.334947
France,06/01/2023,Industry,0.127357
France,06/01/2023,International Aviation,0
France,06/01/2023,Power,0.0945756
France,06/01/2023,Residential,0.223924
Germany,06/01/2023,Domestic Aviation,0.00222972
Germany,06/01/2023,Ground Transport,0.339677
Germany,06/01/2023,Industry,0.247108
Germany,06/01/2023,International Aviation,0
Germany,06/01/2023,Power,0.518243
Germany,06/01/2023,Residential,0.386839
India,06/01/2023,Domestic Aviation,0.041181
India,06/01/2023,Ground Transport,0.907476
India,06/01/2023,Industry,2.23145
India,06/01/2023,International Aviation,0
India,06/01/2023,Power,3.91669
India,06/01/2023,Residential,2.97549
Italy,06/01/2023,Domestic Aviation,0.0066332
Italy,06/01/2023,Ground Transport,0.222281
Italy,06/01/2023,Industry,0.105646
Italy,06/01/2023,International Aviation,0
Italy,06/01/2023,Power,0.188736
Italy,06/01/2023,Residential,0.254392
Japan,06/01/2023,Domestic Aviation,0.0285467
Japan,06/01/2023,Ground Transport,0.46955
Japan,06/01/2023,Industry,0.583072
Japan,06/01/2023,International Aviation,0
Japan,06/01/2023,Power,1.58611
Japan,06/01/2023,Residential,0.660592
ROW,06/01/2023,Domestic Aviation,0.194229
ROW,06/01/2023,Ground Transport,6.15876
ROW,06/01/2023,Industry,8.55609
ROW,06/01/2023,International Aviation,1.42088
ROW,06/01/2023,Power,8.8108
ROW,06/01/2023,Residential,5.12287
Russia,06/01/2023,Domestic Aviation,0.0429868
Russia,06/01/2023,Ground Transport,0.631576
Russia,06/01/2023,Industry,0.806512
Russia,06/01/2023,International Aviation,0
Russia,06/01/2023,Power,2.78241
Russia,06/01/2023,Residential,1.5042
Spain,06/01/2023,Domestic Aviation,0.0175536
Spain,06/01/2023,Ground Transport,0.18231
Spain,06/01/2023,Industry,0.160203
Spain,06/01/2023,International Aviation,0
Spain,06/01/2023,Power,0.0716958
Spain,06/01/2023,Residential,0.143399
United Kingdom,06/01/2023,Domestic Aviation,0.00431173
United Kingdom,06/01/2023,Ground Transport,0.295585
United Kingdom,06/01/2023,Industry,0.0760851
United Kingdom,06/01/2023,International Aviation,0
United Kingdom,06/01/2023,Power,0.0849405
United Kingdom,06/01/2023,Residential,0.281648
United States,06/01/2023,Domestic Aviation,0.42408
United States,06/01/2023,Ground Transport,4.25149
United States,06/01/2023,Industry,2.74541
United States,06/01/2023,International Aviation,0
United States,06/01/2023,Power,4.17244
United States,06/01/2023,Residential,2.06747
Brazil,07/01/2023,Domestic Aviation,0.0296473
Brazil,07/01/2023,Ground Transport,0.551521
Brazil,07/01/2023,Industry,0.269592
Brazil,07/01/2023,International Aviation,0
Brazil,07/01/2023,Power,0.0637137
Brazil,07/01/2023,Residential,0.107823
China,07/01/2023,Domestic Aviation,0.21873
China,07/01/2023,Ground Transport,2.58615
China,07/01/2023,Industry,11.5666
China,07/01/2023,International Aviation,0
China,07/01/2023,Power,19.8814
China,07/01/2023,Residential,2.4113
EU27 & UK,07/01/2023,Domestic Aviation,0.0419334
EU27 & UK,07/01/2023,Ground Transport,2.08286
EU27 & UK,07/01/2023,Industry,1.12627
EU27 & UK,07/01/2023,International Aviation,0
EU27 & UK,07/01/2023,Power,1.55201
EU27 & UK,07/01/2023,Residential,1.98836
France,07/01/2023,Domestic Aviation,0.0118199
France,07/01/2023,Ground Transport,0.314257
France,07/01/2023,Industry,0.0934498
France,07/01/2023,International Aviation,0
France,07/01/2023,Power,0.069396
France,07/01/2023,Residential,0.23181
Germany,07/01/2023,Domestic Aviation,0.0019664
Germany,07/01/2023,Ground Transport,0.332421
Germany,07/01/2023,Industry,0.16302
Germany,07/01/2023,International Aviation,0
Germany,07/01/2023,Power,0.34189
Germany,07/01/2023,Residential,0.398173
India,07/01/2023,Domestic Aviation,0.0409034
India,07/01/2023,Ground Transport,0.920786
India,07/01/2023,Industry,2.30204
India,07/01/2023,International Aviation,0
India,07/01/2023,Power,4.0406
India,07/01/2023,Residential,2.77731
Italy,07/01/2023,Domestic Aviation,0.00583331
Italy,07/01/2023,Ground Transport,0.218477
Italy,07/01/2023,Industry,0.114057
Italy,07/01/2023,International Aviation,0
Italy,07/01/2023,Power,0.203762
Italy,07/01/2023,Residential,0.258349
Japan,07/01/2023,Domestic Aviation,0.0285241
Japan,07/01/2023,Ground Transport,0.451845
Japan,07/01/2023,Industry,0.548262
Japan,07/01/2023,International Aviation,0
Japan,07/01/2023,Power,1.49142
Japan,07/01/2023,Residential,0.664224
ROW,07/01/2023,Domestic Aviation,0.176787
ROW,07/01/2023,Ground Transport,5.79481
ROW,07/01/2023,Industry,8.40214
ROW,07/01/2023,International Aviation,1.43982
ROW,07/01/2023,Power,8.65012
ROW,07/01/2023,Residential,5.16241
Russia,07/01/2023,Domestic Aviation,0.0435859
Russia,07/01/2023,Ground Transport,0.56295
Russia,07/01/2023,Industry,0.811967
Russia,07/01/2023,International Aviation,0
Russia,07/01/2023,Power,2.80122
Russia,07/01/2023,Residential,1.67852
Spain,07/01/2023,Domestic Aviation,0.0166235
Spain,07/01/2023,Ground Transport,0.156666
Spain,07/01/2023,Industry,0.110395
Spain,07/01/2023,International Aviation,0
Spain,07/01/2023,Power,0.0494052
Spain,07/01/2023,Residential,0.132868
United Kingdom,07/01/2023,Domestic Aviation,0.00243212
United Kingdom,07/01/2023,Ground Transport,0.290342
United Kingdom,07/01/2023,Industry,0.0424787
United Kingdom,07/01/2023,International Aviation,0
United Kingdom,07/01/2023,Power,0.0474227
United Kingdom,07/01/2023,Residential,0.263104
United States,07/01/2023,Domestic Aviation,0.385651
United States,07/01/2023,Ground Transport,4.10863
United States,07/01/2023,Industry,2.74777
United States,07/01/2023,International Aviation,0
United States,07/01/2023,Power,4.17603
United States,07/01/2023,Residential,2.11604
Brazil,08/01/2023,Domestic Aviation,0.0280505
Brazil,08/01/2023,Ground Transport,0.417061
Brazil,08/01/2023,Industry,0.337025
Brazil,08/01/2023,International Aviation,0
Brazil,08/01/2023,Power,0.0796505
Brazil,08/01/2023,Residential,0.107823
China,08/01/2023,Domestic Aviation,0.234265
China,08/01/2023,Ground Transport,2.7398
China,08/01/2023,Industry,11.2121
China,08/01/2023,International Aviation,0
China,08/01/2023,Power,19.2721
China,08/01/2023,Residential,2.29372
EU27 & UK,08/01/2023,Domestic Aviation,0.0478644
EU27 & UK,08/01/2023,Ground Transport,1.77649
EU27 & UK,08/01/2023,Industry,1.04356
EU27 & UK,08/01/2023,International Aviation,0
EU27 & UK,08/01/2023,Power,1.43803
EU27 & UK,08/01/2023,Residential,2.06443
France,08/01/2023,Domestic Aviation,0.0130563
France,08/01/2023,Ground Transport,0.265352
France,08/01/2023,Industry,0.0937625
France,08/01/2023,International Aviation,0
France,08/01/2023,Power,0.0696282
France,08/01/2023,Residential,0.239305
Germany,08/01/2023,Domestic Aviation,0.00196032
Germany,08/01/2023,Ground Transport,0.274986
Germany,08/01/2023,Industry,0.155785
Germany,08/01/2023,International Aviation,0
Germany,08/01/2023,Power,0.326716
Germany,08/01/2023,Residential,0.431812
India,08/01/2023,Domestic Aviation,0.0404489
India,08/01/2023,Ground Transport,0.840932
India,08/01/2023,Industry,2.23918
India,08/01/2023,International Aviation,0
India,08/01/2023,Power,3.93027
India,08/01/2023,Residential,2.48317
Italy,08/01/2023,Domestic Aviation,0.00624912
Italy,08/01/2023,Ground Transport,0.206934
Italy,08/01/2023,Industry,0.0983339
Italy,08/01/2023,International Aviation,0
Italy,08/01/2023,Power,0.175673
Italy,08/01/2023,Residential,0.24489
Japan,08/01/2023,Domestic Aviation,0.0286227
Japan,08/01/2023,Ground Transport,0.432409
Japan,08/01/2023,Industry,0.489494
Japan,08/01/2023,International Aviation,0
Japan,08/01/2023,Power,1.33156
Japan,08/01/2023,Residential,0.61893
ROW,08/01/2023,Domestic Aviation,0.184202
ROW,08/01/2023,Ground Transport,5.18485
ROW,08/01/2023,Industry,8.26416
ROW,08/01/2023,International Aviation,1.44392
ROW,08/01/2023,Power,8.39503
ROW,08/01/2023,Residential,5.24086
Russia,08/01/2023,Domestic Aviation,0.0467514
Russia,08/01/2023,Ground Transport,0.535551
Russia,08/01/2023,Industry,0.839589
Russia,08/01/2023,International Aviation,0
Russia,08/01/2023,Power,2.89652
Russia,08/01/2023,Residential,1.66163
Spain,08/01/2023,Domestic Aviation,0.0192869
Spain,08/01/2023,Ground Transport,0.154146
Spain,08/01/2023,Industry,0.105553
Spain,08/01/2023,International Aviation,0
Spain,08/01/2023,Power,0.0472382
Spain,08/01/2023,Residential,0.100187
United Kingdom,08/01/2023,Domestic Aviation,0.00289122
United Kingdom,08/01/2023,Ground Transport,0.262351
United Kingdom,08/01/2023,Industry,0.0511132
United Kingdom,08/01/2023,International Aviation,0
United Kingdom,08/01/2023,Power,0.0570621
United Kingdom,08/01/2023,Residential,0.321469
United States,08/01/2023,Domestic Aviation,0.374229
United States,08/01/2023,Ground Transport,3.29991
United States,08/01/2023,Industry,2.76071
United States,08/01/2023,International Aviation,0
United States,08/01/2023,Power,4.19569
United States,08/01/2023,Residential,2.16858
Brazil,09/01/2023,Domestic Aviation,0.031602
Brazil,09/01/2023,Ground Transport,0.489416
Brazil,09/01/2023,Industry,0.336832
Brazil,09/01/2023,International Aviation,0
Brazil,09/01/2023,Power,0.079605
Brazil,09/01/2023,Residential,0.107823
China,09/01/2023,Domestic Aviation,0.239664
China,09/01/2023,Ground Transport,2.74002
China,09/01/2023,Industry,11.1302
China,09/01/2023,International Aviation,0
China,09/01/2023,Power,19.1312
China,09/01/2023,Residential,2.4155
EU27 & UK,09/01/2023,Domestic Aviation,0.0485269
EU27 & UK,09/01/2023,Ground Transport,2.42094
EU27 & UK,09/01/2023,Industry,1.527
EU27 & UK,09/01/2023,International Aviation,0
EU27 & UK,09/01/2023,Power,2.10421
EU27 & UK,09/01/2023,Residential,2.1419
France,09/01/2023,Domestic Aviation,0.0114694
France,09/01/2023,Ground Transport,0.32974
France,09/01/2023,Industry,0.136574
France,09/01/2023,International Aviation,0
France,09/01/2023,Power,0.10142
France,09/01/2023,Residential,0.278986
Germany,09/01/2023,Domestic Aviation,0.00252022
Germany,09/01/2023,Ground Transport,0.380665
Germany,09/01/2023,Industry,0.304039
Germany,09/01/2023,International Aviation,0
Germany,09/01/2023,Power,0.637641
Germany,09/01/2023,Residential,0.474765
India,09/01/2023,Domestic Aviation,0.0403044
India,09/01/2023,Ground Transport,0.915968
